X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.3693469792295,43.6498126851182,127907976,9999999990,AIDS Bureau,CBAESP,2-Spirited People of the 1st Nations,,,,145 Front Street East,Unit 105,Practice Location,Toronto,M5A1E3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753601
-79.3840465851957,43.6643368869876,127907977,9999999991,AIDS Bureau,CBAESP,Action Positive VIH-SIDA,,,,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753602
-79.3772002817503,43.6499902847855,127907978,9999999992,AIDS Bureau,CBAESP,African and Caribbean Council on HIV/AIDS in Ontario,,,,20 Victoria Street,4th floor,Practice Location,Toronto,M5C2N8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753603
-79.3645515781261,43.6546642861925,127907979,9999999993,AIDS Bureau,CBAESP,Africans in Partnership Against AIDS,,,,526 Richmond Street East,2nd Floor,Practice Location,Toronto,M5A1R3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753604
-79.3750829826276,43.6676496879848,127907980,9999999994,AIDS Bureau,CBAESP,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House),,,,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753605
-80.4600604067568,43.4378038965955,127907981,9999999995,AIDS Bureau,CBAESP,"AIDS Committee of Cambridge, Kitchener, Waterloo and Area",,,,1770 King Street East,Unit 5,Practice Location,Kitchener,N2G2P1,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753606
-78.8647600395661,43.8975890518161,127907982,9999999996,AIDS Bureau,CBAESP,AIDS Committee of Durham Region,,,,22 King Street West,Suite 202,Practice Location,Oshawa,L1H1A3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753607
-79.4664247648742,46.3129605303008,127907983,9999999997,AIDS Bureau,"CBAESP, HCV Team",AIDS Committee of North Bay and Area,,,,269 Main Street West,Suite 201,Practice Location,North Bay,P1B2T8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753608
-75.6809909321515,45.4146210544193,127907984,9999999998,AIDS Bureau,CBAESP,AIDS Committee of Ottawa,,,,19 Main Street,,Practice Location,Ottawa,K1S1A9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753609
-89.2160058582024,48.4383559665503,127907985,9999999999,AIDS Bureau,"CBAESP, HCV Team, HIV Outpatient Clinic",AIDS Committee of Thunder Bay (operating as Elevate Northwestern Ontario),,,,106 Cumberland Street North,Unit 102,Practice Location,Thunder Bay,P7A4M2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753610
-79.3840465851957,43.6643368869876,127907986,10000000000,AIDS Bureau,CBAESP,AIDS Committee of Toronto,,,,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753611
-83.0384211089242,42.3146475724436,127907987,10000000001,AIDS Bureau,CBAESP,AIDS Committee of Windsor,,,,511 Pelissier Street,,Practice Location,Windsor,N9A4L2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753612
-79.4405793236121,43.8939896245373,127907988,10000000002,AIDS Bureau,CBAESP,AIDS Committee of York Region,,,,10909 Yonge Street,Unit 203,Practice Location,Richmond Hill,L4C3E3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753613
-84.3148357536923,46.532372802828,127907989,10000000003,AIDS Bureau,AT site,Algoma Public Health,,,,294 Willow Avenue,,Practice Location,Sault Ste. Marie,P6B0A9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753614
-79.3764054826104,43.6626573870469,127907990,10000000004,AIDS Bureau,CBAESP,Alliance for South Asian AIDS Prevention,,,,120 Carlton Street,Suite 315,Practice Location,Toronto,M5A4K3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753615
-87.9589328507652,49.6026101117458,127907991,10000000005,AIDS Bureau,CBAESP,Animbiigoo Zaagi'igan Anishinaabek (Lake Nipigon Ojibway),,,,204 Main Street,Postal Office Box 120,Practice Location,Beardmore,P0T1G0,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753616
-79.3978909885206,43.6519313841673,127907992,10000000006,AIDS Bureau,CBAESP,Asian Community AIDS Services,,,,260 Spadina Avenue,Unit 410,Practice Location,Toronto,M5T2E4,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753617
-81.2424394126984,42.9900004802244,127907993,10000000007,AIDS Bureau,CBAESP,Association of Iroquois and Allied Indians,,,,387 Princess Avenue,,Practice Location,London,N6B2A7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753618
-79.387636386102,43.6616204863442,127907994,10000000008,AIDS Bureau,AT site,Bay Centre for Birth Control,,,,76 Grenville Street,3rd Floor,Practice Location,Toronto,M5S1B2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753619
-79.457475612995,43.7139201922736,127907995,10000000009,AIDS Bureau,AT site,Birth Control & Venereal Disease Information Centre,,,,960 Lawrence Avenue West,Suite 403,Practice Location,Toronto,M6A3B5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753620
