X,Y,station_name
43.63802031,-79.53638812,Kipling
43.64595008,-79.52394798,Islington
43.64880444,-79.51154051,Royal York
43.65057649,-79.49522499,Old Mill
43.65029127,-79.48477178,Jane
43.65216695,-79.47649916,Runnymede
43.65459423,-79.46552962,High Park
43.65570079,-79.46031548,Keele
43.65714206,-79.45267843,Dundas West
43.65914292,-79.44296991,Lansdowne
43.6606651,-79.4359558,Dufferin
43.66266333,-79.42615682,Ossington
43.66425178,-79.41869303,Christie
43.66599176,-79.41158255,Bathurst
43.66764776,-79.4037584,Spadina
43.66831164,-79.39864323,St George
43.67040029,-79.39027029,Bay
43.67070606,-79.38587981,Yonge
43.67234508,-79.37698161,Sherbourne
43.67414063,-79.36879416,Castle Frank
43.67686172,-79.35852385,Broadview
43.67837735,-79.35141628,Chester
43.67968493,-79.34520853,Pape
43.68105008,-79.33792557,Donlands
43.68270361,-79.33027644,Greenwood
43.68414917,-79.32352724,Coxwell
43.6863529,-79.31335711,Woodbine
43.68891661,-79.30272876,Main Street
43.69432082,-79.29031894,Victoria Park
43.71224201,-79.27898037,Warden
43.73211815,-79.26569845,Kennedy
