X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.36934698,43.64981269,127907976,9999999990,AIDS Bureau,CBAESP,2-Spirited People of the 1st Nations,,,,145 Front Street East,Unit 105,Practice Location,Toronto,M5A1E3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753601
-79.38404659,43.66433689,127907977,9999999991,AIDS Bureau,CBAESP,Action Positive VIH-SIDA,,,,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753602
-79.37720028,43.64999028,127907978,9999999992,AIDS Bureau,CBAESP,African and Caribbean Council on HIV/AIDS in Ontario,,,,20 Victoria Street,4th floor,Practice Location,Toronto,M5C2N8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753603
-79.36455158,43.65466429,127907979,9999999993,AIDS Bureau,CBAESP,Africans in Partnership Against AIDS,,,,526 Richmond Street East,2nd Floor,Practice Location,Toronto,M5A1R3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753604
-79.37508298,43.66764969,127907980,9999999994,AIDS Bureau,CBAESP,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House),,,,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753605
-79.38404659,43.66433689,127907986,10000000000,AIDS Bureau,CBAESP,AIDS Committee of Toronto,,,,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753611
-79.37640548,43.66265739,127907990,10000000004,AIDS Bureau,CBAESP,Alliance for South Asian AIDS Prevention,,,,120 Carlton Street,Suite 315,Practice Location,Toronto,M5A4K3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753615
-79.39789099,43.65193138,127907992,10000000006,AIDS Bureau,CBAESP,Asian Community AIDS Services,,,,260 Spadina Avenue,Unit 410,Practice Location,Toronto,M5T2E4,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753617
-79.38763639,43.66162049,127907994,10000000008,AIDS Bureau,AT site,Bay Centre for Birth Control,,,,76 Grenville Street,3rd Floor,Practice Location,Toronto,M5S1B2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753619
-79.45747561,43.71392019,127907995,10000000009,AIDS Bureau,AT site,Birth Control & Venereal Disease Information Centre,,,,960 Lawrence Avenue West,Suite 403,Practice Location,Toronto,M6A3B5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753620
